OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,Fireplaces,GarageArea,SalePrice,HouseStyle,Condition1,Neighborhood,MSZoning,SaleCondition
7,2003,2003,856,1710,2,0,548,208500,2Story,Norm,CollgCr,RL,Normal
6,1976,1976,1262,1262,2,1,460,181500,1Story,Feedr,Veenker,RL,Normal
7,2001,2002,920,1786,2,1,608,223500,2Story,Norm,CollgCr,RL,Normal
7,1915,1970,756,1717,1,1,642,140000,2Story,Norm,Crawfor,RL,Abnorml
8,2000,2000,1145,2198,2,1,836,250000,2Story,Norm,NoRidge,RL,Normal
5,1993,1995,796,1362,1,0,480,143000,1.5Fin,Norm,Mitchel,RL,Normal
8,2004,2005,1686,1694,2,1,636,307000,1Story,Norm,Somerst,RL,Normal
7,1973,1973,1107,2090,2,2,484,200000,2Story,PosN,NWAmes,RL,Normal
7,1931,1950,952,1774,2,2,468,129900,1.5Fin,Artery,OldTown,RM,Abnorml
5,1939,1950,991,1077,1,2,205,118000,1.5Unf,Artery,BrkSide,RL,Normal
5,1965,1965,1040,1040,1,0,384,129500,1Story,Norm,Sawyer,RL,Normal
9,2005,2006,1175,2324,3,2,736,345000,2Story,Norm,NridgHt,RL,Partial
5,1962,1962,912,912,1,0,352,144000,1Story,Norm,Sawyer,RL,Normal
7,2006,2007,1494,1494,2,1,840,279500,1Story,Norm,CollgCr,RL,Partial
6,1960,1960,1253,1253,1,1,352,157000,1Story,Norm,NAmes,RL,Normal
7,1929,2001,832,854,1,0,576,132000,1.5Unf,Norm,BrkSide,RM,Normal
6,1970,1970,1004,1004,1,1,480,149000,1Story,Norm,NAmes,RL,Normal
4,1967,1967,0,1296,2,0,516,90000,1Story,Norm,Sawyer,RL,Normal
5,2004,2004,1114,1114,1,0,576,159000,1Story,RRAe,SawyerW,RL,Normal
5,1958,1965,1029,1339,1,0,294,139000,1Story,Norm,NAmes,RL,Abnorml
8,2005,2006,1158,2376,3,1,853,325300,2Story,Norm,NridgHt,RL,Partial
7,1930,1950,637,1108,1,1,280,139400,1.5Unf,Norm,IDOTRR,RM,Normal
8,2002,2002,1777,1795,2,1,534,230000,1Story,Norm,CollgCr,RL,Normal
5,1976,1976,1040,1060,1,1,572,129900,1Story,Norm,MeadowV,RM,Normal
5,1968,2001,1060,1060,1,1,270,154000,1Story,Norm,Sawyer,RL,Normal
8,2007,2007,1566,1600,2,1,890,256300,1Story,Norm,NridgHt,RL,Normal
5,1951,2000,900,900,1,0,576,134800,1Story,Norm,NAmes,RL,Normal
8,2007,2008,1704,1704,2,1,772,306000,1Story,Norm,NridgHt,RL,Normal
5,1957,1997,1484,1600,1,2,319,207500,1Story,Norm,NAmes,RL,Normal
4,1927,1950,520,520,1,0,240,68500,1Story,Feedr,BrkSide,RM,Normal
4,1920,1950,649,1317,1,0,250,40000,2Story,Feedr,IDOTRR,C (all),Normal
5,1966,2006,1228,1228,1,0,271,149350,1Story,Norm,Sawyer,RL,Normal
8,2007,2007,1234,1234,2,0,484,179900,1Story,Norm,CollgCr,RL,Normal
5,1959,1959,1398,1700,1,1,447,165500,1Story,Norm,NAmes,RL,Normal
9,2005,2005,1561,1561,2,1,556,277500,1Story,Norm,NridgHt,RL,Normal
8,2004,2005,1117,2452,3,1,691,309000,2Story,Norm,NridgHt,RL,Normal
5,1994,1995,1097,1097,1,0,672,145000,1Story,Norm,CollgCr,RL,Normal
5,1954,1990,1297,1297,1,1,498,153000,1Story,Norm,NAmes,RL,Normal
5,1953,2007,1057,1057,1,0,246,109000,1Story,Norm,NAmes,RL,Abnorml
4,1955,1955,0,1152,2,0,0,82000,1Story,Norm,Edwards,RL,AdjLand
6,1965,1965,1088,1324,2,1,440,160000,1Story,Norm,NAmes,RL,Abnorml
5,1959,1959,1350,1328,1,2,308,170000,1Story,Norm,Timber,RL,Normal
5,1983,1983,840,884,1,0,504,144000,SFoyer,Norm,SawyerW,RL,Normal
5,1975,1980,938,938,1,0,308,130250,1Story,Norm,CollgCr,RL,Normal
5,1959,1959,1150,1150,1,0,300,141000,1Story,Norm,NAmes,RL,Normal
9,2005,2005,1752,1752,2,1,576,319900,1Story,Norm,NridgHt,RL,Normal
7,2003,2003,1434,2149,1,1,670,239686,1.5Fin,Norm,Mitchel,RL,Abnorml
8,2006,2006,1656,1656,2,0,826,249700,1Story,Norm,Somerst,FV,Normal
4,1920,2008,736,1452,2,0,0,113000,2Story,Norm,OldTown,RM,Partial
5,1966,1966,955,955,1,0,386,127000,1Story,Norm,Sawyer,RL,Normal
6,1997,1997,794,1470,2,0,388,177000,2Story,Norm,Gilbert,RL,Normal
6,1934,1950,816,1176,1,1,528,114500,1.5Fin,Norm,BrkSide,RM,Normal
5,1963,1963,816,816,1,0,516,110000,1Story,RRNn,IDOTRR,RM,Normal
9,1981,1987,1842,1842,0,1,894,385000,1Story,Norm,Veenker,RL,Normal
5,1955,1955,384,1360,1,1,572,130000,SLvl,Norm,NAmes,RL,Normal
6,1964,1964,1425,1425,2,1,576,180500,1Story,Norm,NAmes,RL,Normal
8,1999,2000,970,1739,2,0,480,172500,2Story,Norm,Somerst,FV,Abnorml
7,2004,2004,860,1720,2,0,565,196500,2Story,Norm,CollgCr,RL,Normal
10,2006,2006,1410,2945,3,1,641,438780,2Story,Norm,StoneBr,RL,Partial
5,1972,1972,780,780,1,0,352,124900,1Story,Norm,CollgCr,RL,Normal
6,2004,2004,1158,1158,1,0,576,158000,1Story,RRAe,SawyerW,RL,Partial
5,1920,1996,530,1111,1,0,288,101000,2.5Unf,Norm,IDOTRR,RM,Normal
8,2006,2006,1370,1370,2,1,484,202500,1Story,Norm,NridgHt,RL,Normal
7,1921,1950,576,1710,2,0,480,140000,2Story,RRAn,OldTown,RM,Normal
7,1997,1998,1057,2034,2,0,645,219500,2Story,Norm,CollgCr,RL,Normal
8,2004,2005,1143,2473,2,1,852,317000,2Story,Norm,NridgHt,RL,Normal
7,1970,1989,1947,2207,2,1,576,180000,1Story,PosA,NAmes,RL,Normal
7,2003,2003,1453,1479,2,0,558,226000,1Story,Norm,CollgCr,RL,Normal
4,1945,1950,747,747,1,0,220,80000,1Story,Artery,OldTown,RM,Normal
7,1953,1953,1304,2287,2,1,667,225000,1.5Fin,Norm,ClearCr,RL,Normal
7,1973,1973,2223,2223,2,2,516,244000,1Story,Norm,NAmes,RL,Normal
4,1982,2006,845,845,1,0,360,129500,1Story,Norm,Mitchel,RL,Normal
7,1998,1998,832,1718,2,1,427,185000,2Story,Norm,Gilbert,RL,Normal
5,1954,2003,1086,1086,1,0,490,144900,1Story,Norm,NAmes,RL,Normal
3,1915,1950,840,1605,2,0,379,107400,2Story,Norm,OldTown,RM,Normal
4,1973,1973,462,988,1,0,297,91000,SLvl,Norm,MeadowV,RM,Normal
4,1956,1956,952,952,1,0,283,135750,1Story,Norm,NAmes,RL,Normal
5,1948,2001,672,1285,1,0,240,127000,1.5Fin,Norm,BrkSide,RM,Normal
4,1968,1968,1768,1768,2,0,0,136500,1Story,Norm,Sawyer,RL,Normal
5,1910,1981,440,1230,1,0,440,110000,2Story,Norm,OldTown,RM,Normal
6,1968,1968,896,2142,2,1,509,193500,2Story,Norm,NAmes,RL,Normal
6,1998,1998,1237,1337,2,0,405,153500,1Story,Norm,Mitchel,RM,Normal
8,2007,2007,1563,1563,2,1,758,245000,1Story,Norm,Somerst,RL,Normal
5,1960,1960,1065,1065,1,0,461,126500,1Story,Norm,NAmes,RL,Normal
7,1995,1996,384,1474,2,1,400,168500,SLvl,Norm,Gilbert,RL,Normal
8,1991,1992,1288,2417,2,1,462,260000,2Story,Norm,NoRidge,RL,Normal
6,2005,2005,684,1560,2,1,400,174000,2Story,Norm,Gilbert,RL,Normal
6,2009,2009,612,1224,2,0,528,164500,2Story,Norm,Somerst,FV,Partial
3,1915,1982,1013,1526,1,0,0,85000,1.5Fin,Feedr,IDOTRR,C (all),Abnorml
4,1994,1995,990,990,1,0,0,123600,1Story,Norm,CollgCr,RL,Normal
4,1950,1950,0,1040,1,0,420,109900,1Story,Norm,NAmes,RL,Normal
5,1961,1961,1235,1235,1,0,480,98600,1Story,Norm,NAmes,RL,Abnorml
5,1921,2006,876,964,1,0,432,163500,1Story,Norm,Crawfor,RL,Normal
6,1910,1998,1214,2291,2,1,506,133900,2.5Unf,Norm,OldTown,C (all),Normal
6,1997,1997,824,1786,2,0,684,204750,2Story,Norm,CollgCr,RL,Normal
6,1993,1993,680,1470,2,1,420,185000,2Story,Norm,Gilbert,RL,Normal
7,1999,1999,1588,1588,2,0,472,214000,1Story,Norm,CollgCr,RL,Normal
4,1965,1965,960,960,1,0,432,94750,1Story,Norm,Edwards,RL,Normal
5,1920,1950,458,835,1,0,366,83000,1Story,Norm,Edwards,RL,Abnorml
4,1959,1959,950,1225,1,0,0,128950,1Story,Norm,NAmes,RL,Normal
6,1977,2001,1610,1610,2,2,480,205000,1Story,Norm,NWAmes,RL,Normal
6,1985,1985,741,1732,2,1,476,178000,2Story,Norm,SawyerW,RL,Normal
5,1979,1979,0,1535,2,0,410,118964,1Story,Norm,SawyerW,RL,Alloca
7,2009,2009,1226,1226,2,0,740,198900,1Story,Norm,CollgCr,RL,Normal
7,1931,1950,1040,1818,1,2,240,169500,1.5Fin,Norm,IDOTRR,RM,Normal
8,2003,2004,1053,1992,2,1,648,250000,2Story,Norm,Somerst,FV,Normal
4,1885,1995,641,1047,1,0,273,100000,1Story,Norm,OldTown,RM,Normal
5,1948,1950,789,789,1,0,250,115000,1Story,Norm,OldTown,RM,Partial
5,1919,2005,793,1517,2,0,0,115000,1.5Fin,Artery,IDOTRR,RM,Normal
6,1977,1977,1844,1844,2,1,546,190000,1Story,Norm,NWAmes,RL,Normal
6,1954,1972,994,1855,2,0,325,136900,1.5Fin,Norm,Edwards,RL,Normal
7,2000,2000,384,1430,2,1,400,180000,SLvl,Norm,Gilbert,RL,Normal
7,2007,2007,1264,2696,2,1,792,383970,2Story,Norm,CollgCr,RL,Partial
6,1953,1953,1809,2259,2,2,450,217000,1Story,Norm,Crawfor,RL,Abnorml
6,1945,2002,1028,2320,2,1,180,259500,2Story,Norm,Crawfor,RL,Normal
6,1999,1999,729,1458,2,1,440,176000,2Story,Norm,Somerst,FV,Normal
5,1962,1962,1092,1092,1,1,288,139000,1Story,Norm,Sawyer,RL,Normal
5,2006,2007,1125,1125,1,0,430,155000,1Story,Norm,Edwards,RL,Partial
7,1990,1990,1673,3222,3,2,594,320000,2Story,Norm,SawyerW,RL,Normal
6,2005,2006,728,1456,2,1,390,163990,2Story,Norm,CollgCr,RL,Partial
6,1969,1969,938,988,1,2,540,180000,SLvl,Norm,ClearCr,RL,Normal
4,1939,1950,732,1123,1,0,264,100000,1.5Fin,Norm,IDOTRR,RM,Normal
6,1958,1958,1080,1080,1,0,288,136000,1Story,Norm,NAmes,RL,Normal
6,1993,1993,1199,1199,2,0,530,153900,1Story,Norm,SawyerW,RL,Normal
6,1979,1998,1362,1586,2,1,435,181000,1Story,Norm,NWAmes,RL,Normal
6,1935,1982,520,754,1,0,0,84500,1.5Fin,Norm,IDOTRR,RM,Normal
6,1976,1976,1078,958,2,1,440,128000,1Story,Norm,NPkVill,RL,Normal
5,1930,1950,672,840,1,1,0,87000,1.5Unf,Feedr,OldTown,RM,Normal
6,1966,1966,660,1348,1,1,453,155000,2Story,PosN,NAmes,RL,Normal
5,1958,1991,1008,1053,1,0,750,150000,1Story,Norm,NAmes,RL,Abnorml
7,1966,1966,924,2157,2,2,487,226000,2Story,Norm,NAmes,RL,Normal
6,2000,2000,992,2054,2,1,390,244000,2Story,Norm,Gilbert,RL,Normal
5,1959,2002,1063,1327,1,0,624,150750,1Story,Norm,NAmes,RL,Normal
8,2001,2002,1267,1296,2,0,471,220000,1Story,Norm,Timber,RL,Normal
5,1968,1993,1461,1721,2,1,440,180000,1Story,Norm,Sawyer,RL,Normal
7,1970,1970,1304,1682,2,1,530,174000,1Story,Norm,NWAmes,RL,Normal
5,1967,1967,1214,1214,2,1,318,143000,1Story,Norm,NAmes,RL,Normal
7,1988,1989,1907,1959,3,0,766,171000,1Story,Norm,Mitchel,RL,Family
8,1999,2000,1004,1852,2,2,660,230000,2Story,Norm,CollgCr,RL,Normal
6,1997,1997,928,1764,2,0,470,231500,2Story,Norm,CollgCr,RL,Normal
4,1971,1971,864,864,1,1,0,115000,1Story,Norm,NAmes,RL,Normal
7,2005,2005,1734,1734,2,0,660,260000,1Story,Norm,CollgCr,RL,Normal
5,1952,1952,910,1385,2,0,720,166000,1.5Fin,Artery,NAmes,RL,Normal
7,1999,1999,1490,1501,2,0,577,204000,1Story,Norm,CollgCr,RL,Normal
5,1963,1963,1728,1728,2,0,504,125000,1Story,RRAe,Sawyer,RM,Abnorml
6,2004,2006,970,1709,2,0,380,130000,2Story,Norm,Edwards,RM,Normal
5,1931,1993,715,875,1,0,180,105000,1Story,Norm,BrkSide,RM,Normal
7,2001,2001,884,2035,2,1,434,222500,2Story,Norm,Gilbert,RL,Normal
7,2004,2005,1080,1080,1,0,0,141000,1Story,Norm,SawyerW,RL,Normal
5,1936,1950,896,1344,1,0,240,115000,1.5Fin,Norm,BrkSide,RM,Normal
5,1975,1975,969,969,1,0,440,122000,1Story,Norm,CollgCr,RL,Normal
8,2007,2008,1710,1710,2,1,866,372402,1Story,Norm,NridgHt,RL,Partial
6,1971,1971,825,1993,2,1,495,190000,2Story,Norm,NWAmes,RL,Normal
6,1960,1975,1602,1252,1,1,564,235000,1Story,Norm,ClearCr,RL,Normal
6,1923,1950,1200,1200,1,0,312,125000,1Story,Norm,OldTown,RM,Family
6,1924,1950,572,1096,1,0,0,79000,1.5Fin,Artery,Edwards,RL,Normal
5,1950,1950,0,1040,1,0,625,109500,1Story,Norm,NAmes,RL,Normal
8,2009,2010,774,1968,2,1,680,269500,2Story,Norm,Timber,RL,Partial
7,2004,2005,991,1947,2,1,678,254900,2Story,Norm,Somerst,FV,Normal
7,2005,2006,1392,2462,2,1,576,320000,2Story,Norm,Gilbert,RL,Partial
6,1984,1984,1232,1232,2,0,516,162500,1Story,Norm,Veenker,RL,Normal
9,2003,2004,1572,2668,2,2,726,412500,2Story,Norm,NridgHt,RL,Normal
7,2005,2005,1541,1541,2,1,532,220000,1Story,Norm,NridgHt,RL,Partial
4,1956,1956,882,882,1,0,0,103200,1.5Unf,Norm,OldTown,RL,Normal
6,1926,2004,1149,1616,2,0,216,152000,1Story,Norm,OldTown,RM,Normal
5,1940,1999,644,1355,2,0,0,127500,1.5Fin,Norm,Edwards,RL,Normal
5,1955,1993,1617,1867,1,3,303,190000,1Story,Norm,ClearCr,RL,Normal
8,2007,2007,1582,2161,1,1,789,325624,2Story,Norm,NridgHt,RL,Partial
7,2004,2004,840,1720,2,1,440,183500,2Story,Norm,Gilbert,RL,Normal
8,1981,1981,1686,1707,2,1,511,228000,1Story,Norm,Timber,RL,Normal
5,1941,1950,720,1382,1,0,660,128500,1.5Fin,Feedr,OldTown,RM,Normal
6,1960,1960,1080,1656,1,2,528,215000,1Story,Norm,NAmes,RL,Normal
7,1987,1987,1064,1767,2,1,504,239000,2Story,Norm,StoneBr,RL,Normal
6,1961,1961,1362,1362,1,1,504,163000,1Story,Norm,NAmes,RL,Normal
6,1986,1986,1606,1651,2,1,616,184000,1Story,Norm,Timber,RL,Normal
6,1950,2001,1202,2158,2,1,576,243000,1Story,Norm,Edwards,RL,Normal
6,1988,1989,1151,2060,2,1,521,211000,2Story,Norm,ClearCr,RL,Normal
5,1958,1958,1052,1920,2,1,451,172500,1.5Fin,Norm,Sawyer,RL,Normal
9,2008,2009,2216,2234,2,1,1166,501837,1Story,Norm,StoneBr,RL,Partial
5,1923,2006,968,968,1,0,480,100000,1Story,Norm,OldTown,RM,Normal
6,2000,2000,756,1525,2,1,440,177000,2Story,Norm,Somerst,FV,Normal
7,1920,1950,793,1802,1,1,216,200100,2Story,Norm,Crawfor,RL,Normal
5,1957,2006,0,1340,1,1,252,120000,1Story,Artery,Edwards,RL,Normal
7,2003,2003,1362,2082,2,0,484,200000,1.5Fin,Norm,OldTown,RM,Normal
5,1908,1991,504,1252,1,0,576,127000,1.5Fin,RRAn,BrkSide,RL,Normal
10,1892,1993,1107,3608,2,2,840,475000,2.5Fin,Artery,OldTown,RM,Normal
7,1990,1991,1188,1217,2,0,497,173000,SLvl,Norm,Mitchel,RL,Normal
5,1916,1987,660,1656,2,0,180,135000,1.5Fin,Norm,OldTown,RL,Normal
5,1979,1979,1086,1224,0,2,528,153337,SFoyer,Feedr,SawyerW,RL,Alloca
8,2001,2002,1593,1593,1,1,682,286000,1Story,Norm,StoneBr,RL,Normal
8,1932,1994,853,2727,2,2,440,315000,2Story,Norm,Crawfor,RL,Normal
7,1972,2004,725,1479,1,0,484,184000,2Story,Norm,NAmes,RL,Normal
7,1999,1999,1431,1431,2,0,666,192000,1Story,Norm,CollgCr,RL,Normal
7,2004,2004,970,1709,2,0,380,130000,2Story,Norm,Edwards,RM,Normal
5,1972,1972,864,864,1,0,352,127000,1Story,Norm,CollgCr,RL,Normal
6,1976,1976,855,1456,2,1,440,148500,2Story,Norm,NPkVill,RL,Normal
7,2007,2007,1726,1726,2,1,786,311872,1Story,Norm,Somerst,RL,Partial
8,1918,1990,1360,3112,2,1,795,235000,2Story,Artery,NAmes,RL,Abnorml
6,1912,1950,755,2229,1,0,0,104000,2.5Fin,Norm,OldTown,RM,Abnorml
8,2004,2005,1713,1713,2,1,856,274900,1Story,Norm,NridgHt,RL,Normal
4,2003,2004,1121,1121,2,0,440,140000,1Story,Norm,Edwards,RM,Normal
6,1977,1977,1196,1279,2,2,473,171500,1Story,Norm,Mitchel,RL,Normal
6,1924,1950,617,1310,2,0,398,112000,1.5Fin,Artery,OldTown,RL,Normal
6,2004,2004,848,848,1,1,420,149000,1Story,Norm,CollgCr,RM,Normal
5,1947,1950,720,1284,1,0,240,110000,1.5Fin,Norm,OldTown,RM,Normal
7,1990,1990,1424,1442,2,0,500,180500,1Story,Norm,Gilbert,RL,Normal
5,1962,1962,1140,1696,1,1,349,143900,1Story,RRAe,Sawyer,RL,Normal
4,1960,1960,1100,1100,1,1,312,141000,1Story,Norm,NAmes,RL,Normal
7,1988,1989,1157,2062,2,1,454,277000,2Story,Norm,SawyerW,RL,Normal
6,1964,1964,1092,1092,1,0,504,145000,1Story,Norm,NAmes,RL,Normal
5,1925,1950,864,864,1,0,0,98000,1Story,Norm,Edwards,RL,Normal
6,2009,2009,1212,1212,2,0,460,186000,1Story,Norm,Edwards,RL,Normal
7,2009,2009,900,1852,2,1,644,252678,2Story,Norm,Somerst,FV,Partial
5,1995,1995,990,990,1,0,576,156000,1Story,Norm,CollgCr,RL,Normal
6,1977,1977,689,1392,1,0,299,161750,2Story,Norm,CollgCr,RL,Normal
5,1957,1996,1070,1236,1,1,447,134450,1Story,Norm,NAmes,RL,Normal
7,2004,2004,1436,1436,2,0,484,210000,1Story,Norm,CollgCr,RL,Normal
4,1925,1950,686,1328,1,0,210,107000,2Story,Norm,OldTown,RM,Family
7,1939,2006,798,1954,1,2,431,311500,1.5Fin,Norm,Crawfor,RL,Normal
7,2005,2006,1248,1248,2,0,438,167240,1Story,Norm,Blmngtn,RL,Partial
7,2006,2006,1498,1498,2,0,675,204900,1Story,Norm,CollgCr,RL,Partial
6,2002,2002,1010,2267,2,1,390,200000,2Story,Norm,Gilbert,RL,Normal
6,1975,1975,713,1552,2,1,434,179900,2Story,RRAn,NWAmes,RL,Normal
4,1971,1971,864,864,1,0,576,97000,1Story,Norm,NAmes,RL,Abnorml
10,2003,2003,2392,2392,2,1,968,386250,1Story,Norm,NridgHt,RL,Normal
5,1971,1971,630,1302,2,0,280,112000,2Story,Norm,BrDale,RM,Abnorml
7,1995,1995,1203,2520,2,1,721,290000,2Story,Norm,NoRidge,RL,Abnorml
6,1970,1970,483,987,1,0,280,106000,2Story,Norm,BrDale,RM,Normal
5,1967,1967,912,912,1,1,336,125000,1Story,Feedr,Sawyer,RL,Normal
7,2005,2006,1373,1555,2,1,430,192500,1Story,Norm,Blmngtn,RL,Normal
6,1959,1959,1194,1194,1,0,312,148000,1Story,Norm,NAmes,RL,Normal
8,1995,1996,1462,2794,2,1,810,403000,2Story,Norm,NoRidge,RL,Normal
6,1972,1972,483,987,1,1,288,94500,2Story,Norm,BrDale,RM,Normal
5,1976,1976,894,894,1,0,308,128200,1Story,Norm,CollgCr,RL,Normal
6,2002,2002,860,1960,2,2,440,216500,2Story,Norm,Gilbert,RL,Normal
6,1971,1971,483,987,1,0,264,89500,2Story,Norm,BrDale,RM,Normal
7,2004,2004,1414,1414,2,0,494,185500,1Story,Norm,CollgCr,RL,Normal
7,1993,2003,996,1744,2,0,457,194500,2Story,RRNe,SawyerW,RL,Normal
8,2007,2007,1694,1694,2,0,818,318000,1Story,Norm,NridgHt,RL,Partial
6,1945,1950,735,1487,1,1,220,113000,1.5Fin,Norm,Edwards,RL,Normal
8,2008,2008,1566,1566,2,0,750,262500,1Story,Norm,Somerst,FV,Normal
5,1945,1997,686,866,1,0,0,110500,1Story,Norm,OldTown,RM,Normal
5,1900,1950,540,1440,1,0,352,79000,1.5Fin,Norm,OldTown,RM,Normal
6,1980,1980,626,1217,1,1,288,120000,2Story,Norm,SawyerW,RL,Normal
7,1994,2002,948,2110,2,2,463,205000,2Story,Norm,SawyerW,RL,Normal
7,1988,1988,1845,1872,2,1,604,241500,1Story,Norm,NWAmes,RL,Normal
6,1910,1950,1020,1928,2,0,440,137000,2Story,Norm,OldTown,RM,Normal
6,1954,1954,1367,1375,1,1,451,140000,1Story,Norm,NAmes,RL,Normal
7,2003,2003,840,1668,2,0,500,180000,2Story,Norm,CollgCr,RL,Normal
6,1958,2006,1444,2144,2,2,389,277000,1.5Fin,Norm,ClearCr,RL,Normal
3,1940,1966,728,1306,1,0,0,76500,1Story,Norm,BrkSide,RL,Normal
8,2006,2007,1573,1625,2,1,538,235000,1Story,Norm,Crawfor,RM,Family
6,2004,2004,798,1640,2,0,520,173000,2Story,Norm,SawyerW,RL,Normal
6,1964,1991,1302,1302,2,0,309,158000,SLvl,Norm,NAmes,RL,Normal
5,1957,1957,1314,1314,1,0,294,145000,1Story,Norm,NAmes,RL,Normal
7,1999,1999,975,2291,2,1,429,230000,2Story,Norm,Gilbert,RL,Normal
6,2003,2003,864,1728,2,0,673,207500,2Story,Norm,Somerst,FV,Normal
7,2006,2006,1604,1604,2,1,660,220000,1Story,Norm,CollgCr,RL,Abnorml
7,2001,2001,963,1792,2,1,564,231500,2Story,Norm,CollgCr,RL,Normal
5,1956,1956,0,882,1,0,308,97000,1Story,Norm,OldTown,RM,Normal
6,1962,1962,1362,1382,1,1,884,176000,SLvl,Artery,NAmes,RL,Normal
8,2007,2007,1482,2574,2,1,868,276000,2Story,Norm,CollgCr,RL,Partial
6,1977,1995,506,1212,1,1,492,151000,SLvl,Norm,Sawyer,RL,Normal
5,1929,2001,926,1316,1,0,484,130000,1.5Fin,Norm,OldTown,RM,Normal
5,1925,2004,680,764,1,0,504,73000,1Story,Artery,OldTown,RM,Normal
6,1981,1981,1422,1422,2,1,576,175500,1Story,Norm,NWAmes,RL,Normal
6,1997,1997,802,1511,2,1,413,185000,2Story,Norm,Gilbert,RL,Normal
5,1939,1997,720,2192,2,1,240,179500,2.5Fin,Norm,SWISU,RL,Normal
5,1940,1955,740,778,1,1,924,120500,1Story,Norm,IDOTRR,RM,Normal
6,1976,1976,1143,1113,1,1,504,148000,1Story,Norm,Edwards,RL,Normal
8,2006,2006,1095,1939,2,1,1053,266000,2Story,Norm,Somerst,FV,Partial
7,1954,2005,1385,1363,1,2,439,241500,1Story,Norm,ClearCr,RL,Normal
8,1999,2007,1152,2270,2,1,671,290000,2Story,Norm,NoRidge,RL,Normal
6,1958,1988,1240,1632,2,1,338,139000,1Story,Feedr,NAmes,RL,Normal
5,1982,1982,816,816,1,0,264,124500,1Story,Norm,Mitchel,RL,Normal
7,1925,2007,952,1548,2,0,672,205000,1.5Fin,Norm,BrkSide,RL,Normal
7,2003,2003,1560,1560,2,0,573,201000,1Story,Norm,Mitchel,RL,Normal
4,1951,1951,864,864,1,0,400,141000,1Story,Norm,Gilbert,RL,Normal
9,2006,2007,2121,2121,2,1,732,415298,1Story,Norm,NridgHt,RL,Partial
7,1977,1977,1160,2022,2,1,505,192000,2Story,Norm,ClearCr,RL,Normal
7,1989,1989,807,1982,2,1,575,228500,2Story,Norm,SawyerW,RL,Normal
6,2006,2006,1262,1262,2,0,572,185000,1Story,Norm,Somerst,FV,Partial
7,2007,2008,1314,1314,2,1,626,207500,1Story,Norm,NridgHt,RL,Normal
8,2008,2009,1468,1468,2,1,898,244600,1Story,Feedr,Somerst,RL,Partial
6,1992,1992,1575,1575,2,0,529,179200,1Story,Norm,SawyerW,RL,Normal
7,2006,2007,625,1250,2,0,528,164700,2Story,Norm,Somerst,FV,Partial
6,1962,1981,912,1734,1,1,440,159000,1.5Fin,Norm,NAmes,RL,Normal
4,1971,1971,858,858,1,0,0,88000,1Story,Norm,NAmes,RL,Normal
5,1967,1967,882,900,1,0,280,122000,1Story,Norm,Sawyer,RL,Normal
